MUNICIPIO REPORTE,Fecha,Casos_Dengue,Lluvia_mm,Poblacion
PUERTO RICO,2018-06-01,0,448.8,33447
PUERTO RICO,2018-07-01,1,216.6,33447
PUERTO RICO,2018-08-01,0,259.4,33447
PUERTO RICO,2018-09-01,0,123.0,33447
PUERTO RICO,2018-10-01,1,294.8,33447
PUERTO RICO,2018-11-01,0,123.8,33447
PUERTO RICO,2018-12-01,0,72.0,33447
PUERTO RICO,2019-01-01,1,133.5,33447
PUERTO RICO,2019-02-01,2,75.4,33447
PUERTO RICO,2019-03-01,0,507.6,33447
PUERTO RICO,2019-04-01,3,385.6,33447
PUERTO RICO,2019-05-01,6,355.8,33447
PUERTO RICO,2019-06-01,7,326.0,33447
PUERTO RICO,2019-07-01,14,296.2,33447
PUERTO RICO,2019-08-01,3,162.4,33447
PUERTO RICO,2019-09-01,3,285.0,33447
PUERTO RICO,2019-10-01,7,410.6,33447
PUERTO RICO,2019-11-01,13,286.4,33447
PUERTO RICO,2019-12-01,28,244.9,33447
PUERTO RICO,2020-01-01,44,50.3,33447
PUERTO RICO,2020-02-01,51,238.2,33447
PUERTO RICO,2020-03-01,14,158.5,33447
PUERTO RICO,2020-04-01,16,207.0,33447
PUERTO RICO,2020-05-01,16,464.0,33447
PUERTO RICO,2020-06-01,18,310.9,33447
PUERTO RICO,2020-07-01,8,319.1,33447
PUERTO RICO,2020-08-01,2,163.4,33447
PUERTO RICO,2020-09-01,2,105.9,33447
PUERTO RICO,2020-10-01,0,280.1,33447
PUERTO RICO,2020-11-01,0,323.7,33447
PUERTO RICO,2020-12-01,1,77.9,33447
PUERTO RICO,2021-01-01,4,135.8,33447
PUERTO RICO,2021-02-01,1,176.0,33447
PUERTO RICO,2021-03-01,5,281.2,33447
PUERTO RICO,2021-04-01,8,363.5,33447
PUERTO RICO,2021-05-01,7,526.4,33447
PUERTO RICO,2021-06-01,1,437.9,33447
PUERTO RICO,2021-07-01,4,413.2,33447
PUERTO RICO,2021-08-01,1,266.8,33447
PUERTO RICO,2021-09-01,0,260.0,33447
PUERTO RICO,2021-10-01,1,276.0,33447
PUERTO RICO,2021-11-01,0,135.9,33447
PUERTO RICO,2021-12-01,5,4.1,33447
PUERTO RICO,2022-01-01,0,61.5,33447
PUERTO RICO,2022-02-01,0,213.8,33447
PUERTO RICO,2022-03-01,5,357.7,33447
PUERTO RICO,2022-04-01,3,330.2,33447
PUERTO RICO,2022-05-01,4,436.3,33447
PUERTO RICO,2022-06-01,3,489.2,33447
PUERTO RICO,2022-07-01,2,246.2,33447
PUERTO RICO,2022-08-01,1,345.7,33447
PUERTO RICO,2022-09-01,1,333.2,33447
PUERTO RICO,2022-10-01,4,188.4,33447
PUERTO RICO,2022-11-01,1,145.8,33447
PUERTO RICO,2022-12-01,1,27.9,33447
PUERTO RICO,2023-01-01,2,102.6,33447
PUERTO RICO,2023-02-01,6,220.9,33447
PUERTO RICO,2023-03-01,14,195.7,33447
PUERTO RICO,2023-04-01,11,353.4,33447
PUERTO RICO,2023-05-01,13,329.0,33447
PUERTO RICO,2023-06-01,10,384.8,33447
PUERTO RICO,2023-07-01,10,318.9,33447
PUERTO RICO,2023-08-01,1,147.2,33447
PUERTO RICO,2023-09-01,1,234.4,33447
